"","X1","Y1","ProbId1","X2","Y2","ProbId2","X3","Y3","ProbId3","X4","Y4","ProbId4","X5","Y5","ProbId5","X6","Y6","ProbId6","X7","Y7","ProbId7","X8","Y8","ProbId8"
"30",640.88,318.18,1,1173.1,727.63,0.99964,594.54,559.02,0.9849,922.4,945.22,0.99981,1222.6,787.57,0.91577,913.14,887.39,1,1132.3,863.85,0.10626,594.1,436,0.98935
"31",648.46,310,1,1170.1,722.24,0.99964,594.35,552.7,0.9849,930.98,947.45,0.99981,1224.2,780.26,0.91577,909.95,883.67,1,1142.3,854.67,0.10626,600.15,428.87,0.98935
"32",657.34,301.84,1,1164.8,714,0.99964,592.74,545.16,0.9849,939.71,948.7,0.99981,1227.2,769.22,0.91577,907.82,879.41,1,1149.8,847.98,0.10626,605.64,421.1,0.98935
"33",663.94,294.33,1,1161.1,707.6,0.99964,592.37,536.72,0.9849,946.48,949.76,0.99981,1229.1,758.19,0.91577,908.82,874.49,1,1157.9,840.81,0.10626,611.25,413.9,0.98935
"34",669.17,288.96,1,1157.5,700.05,0.99964,592.55,530.4,0.9849,953.33,950.73,0.99981,1230.4,747.63,0.91577,914.05,867.03,1,1164.8,834.4,0.10626,616.53,407.3,0.98935
"35",675.23,283.54,1,1154.2,692.95,0.99964,593.08,523.22,0.9849,959.53,951.4,0.99981,1232.2,736.32,0.91577,918.73,859.63,1,1173.1,822.54,0.10626,621.07,401.47,0.98935
"36",679.24,279.87,1,1151.3,686.79,0.99964,593.33,519.25,0.9849,965.56,952.03,0.99981,1233.7,727.53,0.91577,924.77,851.4,1,1181.9,809.52,0.10626,624.16,397.84,0.98935
"37",685.23,276.51,1,1148.5,680.35,0.99964,594.23,513.08,0.9849,970.68,951.81,0.99981,1235.1,719.76,0.91577,929.55,844.45,1,1189,796.08,0.10626,628.33,392.88,0.98935
"38",697.97,269.83,1,1146.2,674.96,0.99964,594.53,508.67,0.9849,981.36,948.12,0.99981,1236.2,712.98,0.91577,937.34,834.29,1,1194.8,786.32,0.10626,633.25,386.75,0.98935
"39",708.8,264.51,1,1144.1,669.98,0.99964,594.96,502.65,0.9849,991.8,945.23,0.99981,1237.4,705.94,0.91577,945.88,824.25,1,1200.4,777.12,0.10626,635.14,384.52,0.98935
"40",718.86,258.3,1,1142.6,665.04,0.99964,595.2,499.63,0.9849,1002.8,941.29,0.99981,1238.3,700.85,0.91577,953.34,812.57,1,1205.2,768.85,0.10626,639.34,378.24,0.98935
"41",726.4,253.65,1,1144.2,659.57,0.99964,595.39,496.42,0.9849,1013,937.61,0.99981,1240,694.69,0.91577,961.91,802.85,1,1210.5,759.96,0.10626,645.62,370.76,0.98935
"42",732.69,250.03,1,1148.1,648.34,0.99964,597.48,490.62,0.9849,1023.4,932.64,0.99981,1245.3,686.33,0.91577,970.01,792.99,1,1214.8,752.58,0.10626,654.73,361.53,0.98935
"43",738.49,246.9,1,1152.1,638.98,0.99964,600.86,482.94,0.9849,1033.1,928.54,0.99981,1250.4,673.73,0.91577,977.34,784.54,1,1218.8,745.75,0.10626,661.51,354.03,0.98935
"44",746.95,246.9,1,1155.6,631.56,0.99964,606.22,471.63,0.9849,1040.5,924.95,0.99981,1254.5,664.11,0.91577,983.78,777.58,1,1223,740.25,0.10626,669.24,346.28,0.98935
"45",759.55,245.45,1,1159.2,624.04,0.99964,611.1,460.75,0.9849,1048.1,921.13,0.99981,1258,655.88,0.91577,989.84,771.14,1,1228.9,729.96,0.10626,674.87,340.45,0.98935
"46",767.93,245.16,1,1162.4,617.57,0.99964,615.39,451.46,0.9849,1055.2,917.69,0.99981,1261.2,648.08,0.91577,995.29,764.84,1,1237.4,715.47,0.10626,681.18,334.16,0.98935
"47",775.49,245.17,1,1165.5,611.53,0.99964,620.52,442.3,0.9849,1062,914.34,0.99981,1264.1,641.63,0.91577,1000.5,759.71,1,1244.5,701.18,0.10626,686.4,329.08,0.98935
"48",782.59,247.05,1,1168.3,606.5,0.99964,625.87,432.08,0.9849,1067.7,911.37,0.99981,1266.8,634.98,0.91577,1004.8,755.43,1,1250.5,687.82,0.10626,691.31,324.26,0.98935
"49",777.67,254.78,1,1170.6,601.92,0.99964,628.94,426.33,0.9849,1071.2,909.59,0.99981,1268.9,629.77,0.91577,1013.8,750.79,1,1255,675.34,0.10626,696.45,319.53,0.98935
"50",766.43,262.92,1,1173.2,596.9,0.99964,633.14,418.85,0.9849,1078.9,902.21,0.99981,1271,623.87,0.91577,1024.3,744.63,1,1259.3,664.39,0.10626,701.24,314.01,0.98935
"51",754.02,270.24,1,1175.4,593.22,0.99964,636.02,413.28,0.9849,1086.9,895.62,0.99981,1272.3,616.9,0.99967,1037.8,738.43,1,1262.9,653.62,0.99883,709.02,307.57,0.98935
"52",744.15,273.78,1,1177.8,589.41,0.99964,639.05,405.98,0.9849,1095.8,887.25,0.99981,1266.5,600.37,0.99967,1047.2,732.94,1,1264.7,646.25,0.99883,720.57,302.17,0.98935
"53",734.26,276.79,1,1183.9,584.65,0.99964,642.49,397.94,0.9849,1104.8,880.01,0.99981,1261.9,585.27,0.99967,1057.4,727.69,1,1266.9,637.94,0.99883,733.83,295.64,0.98935
